Entry	Protein names	Gene names
Q9UBG3	Cornulin (53 kDa putative calcium-binding protein) (53 kDa squamous epithelial-induced stress protein) (58 kDa heat shock protein) (Squamous epithelial heat shock protein 53) (Tumor-related protein)	CRNN C1orf10 DRC1 PDRC1 SEP53
Q96LI6	Heat shock transcription factor, Y-linked (Heat shock transcription factor 2-like protein) (HSF2-like)	HSFY1 HSF2L HSFY; HSFY2 HSF2L HSFY
P10809	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60
Q9UJY1	Heat shock protein beta-8 (HspB8) (Alpha-crystallin C chain) (E2-induced gene 1 protein) (Protein kinase H11) (Small stress protein-like protein HSP22)	HSPB8 CRYAC E2IG1 HSP22 PP1629
P38646	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	HSPA9 GRP75 HSPA9B mt-HSP70
O75506	Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13)	HSBP1 HSF1BP
P35372	Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP)	OPRM1 MOR1
P15927	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	RPA2 REPA2 RPA32 RPA34
P53041	Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)	PPP5C PPP5
Q9NW64	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22) (Zinc finger CCCH domain-containing protein 16)	RBM22 ZC3H16 199G4
Q6ZRF8	RING finger protein 207	RNF207 C1orf188
Q5VY09	Immediate early response gene 5 protein	IER5 PP4583 SBBI48
Q9Y4L1	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	HYOU1 GRP170 ORP150
P52948	Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]	NUP98 ADAR2
O75626	PR domain zinc finger protein 1 (EC 2.1.1.-) (BLIMP-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1) (Positive regulatory domain I-binding factor 1) (PRDI-BF1) (PRDI-binding factor 1)	PRDM1 BLIMP1
P78317	E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RNF4) (Small nuclear ring finger protein) (Protein SNURF)	RNF4 SNURF RES4-26
P78406	mRNA export factor (Rae1 protein homolog) (mRNA-associated protein mrnp 41)	RAE1 MRNP41
Q9H2J4	Phosducin-like protein 3 (HTPHLP) (PhPL3) (Viral IAP-associated factor 1) (VIAF-1)	PDCL3 PhLP2A VIAF1
P49792	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)	RANBP2 NUP358
O00141	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	SGK1 SGK
O95391	Pre-mRNA-splicing factor SLU7 (hSlu7)	SLU7
O60603	Toll-like receptor 2 (EC 3.2.2.6) (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282)	TLR2 TIL4
Q99567	Nuclear pore complex protein Nup88 (88 kDa nucleoporin) (Nucleoporin Nup88)	NUP88
Q5SRE5	Nucleoporin NUP188 (hNup188)	NUP188 KIAA0169
P01137	Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]	TGFB1 TGFB
P28062	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)	PSMB8 LMP7 PSMB5i RING10 Y2
O75694	Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155)	NUP155 KIAA0791
Q5T1C6	Acyl-coenzyme A thioesterase THEM4 (Acyl-CoA thioesterase THEM4) (EC 3.1.2.2) (Carboxyl-terminal modulator protein) (Thioesterase superfamily member 4)	THEM4 CTMP
Q6EEV6	Small ubiquitin-related modifier 4 (SUMO-4) (Small ubiquitin-like protein 4)	SUMO4 SMT3H4
O75494	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR
Q9NUQ6	SPATS2-like protein (DNA polymerase-transactivated protein 6) (Stress granule and nucleolar protein) (SGNP)	SPATS2L DNAPTP6 SP1224
P78527	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1
P28065	Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	PSMB9 LMP2 PSMB6i RING12
Q7Z3B4	Nucleoporin p54 (54 kDa nucleoporin)	NUP54
Q96M98	Parkin coregulated gene protein (Molecular chaperone/chaperonin-binding protein) (PARK2 coregulated gene protein)	PACRG GLUP
P23497	Nuclear autoantigen Sp-100 (Nuclear dot-associated Sp100 protein) (Speckled 100 kDa)	SP100
Q8IZP2	Putative protein FAM10A4 (Suppression of tumorigenicity 13 pseudogene 4)	ST13P4 FAM10A4
P27694	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]	RPA1 REPA1 RPA70
Q13242	Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)	SRSF9 SFRS9 SRP30C
P23443	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	RPS6KB1 STK14A
P50454	Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47)	SERPINH1 CBP1 CBP2 HSP47 SERPINH2 PIG14
P35244	Replication protein A 14 kDa subunit (RP-A p14) (Replication factor A protein 3) (RF-A protein 3)	RPA3 REPA3 RPA14
Q9Y2Z0	Protein SGT1 homolog (Protein 40-6-3) (Sgt1) (Suppressor of G2 allele of SKP1 homolog)	SUGT1
P11309	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	PIM1
Q9Y3V2	RWD domain-containing protein 3 (RWD domain-containing sumoylation enhancer) (RSUME)	RWDD3 RSUME
Q92541	RNA polymerase-associated protein RTF1 homolog	RTF1 KIAA0252
Q08209	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform)	PPP3CA CALNA CNA
P12270	Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)	TPR
Q96EB6	NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	SIRT1 SIR2L1
O00401	Neural Wiskott-Aldrich syndrome protein (N-WASP)	WASL
Q5VZL5	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	ZMYM4 KIAA0425 ZNF262
P59046	NACHT, LRR and PYD domains-containing protein 12 (Monarch-1) (PYRIN-containing APAF1-like protein 7) (Regulated by nitric oxide)	NLRP12 NALP12 PYPAF7 RNO
O75340	Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)	PDCD6 ALG2
Q92797	Symplekin	SYMPK SPK
Q9BYJ9	YTH domain-containing family protein 1 (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1)	YTHDF1 C20orf21
Q96EE3	Nucleoporin SEH1 (GATOR complex protein SEH1) (Nup107-160 subcomplex subunit SEH1) (SEC13-like protein)	SEH1L SEC13L SEH1
Q8IUQ4	E3 ubiquitin-protein ligase SIAH1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH1) (Seven in absentia homolog 1) (Siah-1) (Siah-1a)	SIAH1 HUMSIAH
Q8N1F7	Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (Nucleoporin Nup93)	NUP93 KIAA0095
Q8N573	Oxidation resistance protein 1	OXR1 Nbla00307
P08621	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1
P27361	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3
O43765	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP)	SGTA SGT SGT1
P55735	Protein SEC13 homolog (GATOR complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein)	SEC13 D3S1231E SEC13A SEC13L1 SEC13R
Q8WXB1	Protein N-lysine methyltransferase METTL21A (EC 2.1.1.-) (HSPA lysine methyltransferase) (HSPA-KMT) (Hepatocellular carcinoma-associated antigen 557b) (Methyltransferase-like protein 21A)	METTL21A FAM119A HCA557B
Q16236	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nrf-2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)	NFE2L2 NRF2
Q8NFH3	Nucleoporin Nup43 (Nup107-160 subcomplex subunit Nup43) (p42)	NUP43
Q8WUM0	Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)	NUP133
Q86YL7	Podoplanin (Aggrus) (Glycoprotein 36) (Gp36) (PA2.26 antigen) (T1-alpha) (T1A) [Cleaved into: 29kDa cytosolic podoplanin intracellular domain (PICD)]	PDPN GP36 PSEC0003 PSEC0025
Q58FF7	Putative heat shock protein HSP 90-beta-3 (Heat shock protein 90-beta c) (Heat shock protein 90Bc)	HSP90AB3P HSP90BC
Q16644	MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3) (MAPKAP kinase 3) (MAPKAP-K3) (MAPKAPK-3) (MK-3) (EC 2.7.11.1) (Chromosome 3p kinase) (3pK)	MAPKAPK3
Q29980	MHC class I polypeptide-related sequence B (MIC-B)	MICB PERB11.2
Q8TEM1	Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Nuclear envelope pore membrane protein POM 210) (POM210) (Nucleoporin Nup210) (Pore membrane protein of 210 kDa)	NUP210 KIAA0906 PSEC0245
P30304	M-phase inducer phosphatase 1 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25A)	CDC25A
Q12988	Heat shock protein beta-3 (HspB3) (Heat shock 17 kDa protein) (HSP 17) (Protein 3)	HSPB3 HSP27 HSPL27
C9JCN9	Heat shock factor-binding protein 1-like protein 1	HSBP1L1
Q29983	MHC class I polypeptide-related sequence A (MIC-A)	MICA PERB11.1
P57740	Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107)	NUP107
Q14654	ATP-sensitive inward rectifier potassium channel 11 (IKATP) (Inward rectifier K(+) channel Kir6.2) (Potassium channel, inwardly rectifying subfamily J member 11)	KCNJ11
P10242	Transcriptional activator Myb (Proto-oncogene c-Myb)	MYB
Q15154	Pericentriolar material 1 protein (PCM-1) (hPCM-1)	PCM1
P45983	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C
P37198	Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62)	NUP62
P02545	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1
Q9BQS6	Heat shock protein beta-9 (HspB9) (Cancer/testis antigen 51) (CT51)	HSPB9
Q9BVL2	Nucleoporin p58/p45 (58 kDa nucleoporin) (Nucleoporin-like protein 1)	NUP58 KIAA0410 NUPL1
P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	NR3C2 MCR MLR
Q86XA0	Methyltransferase-like protein 23 (EC 2.1.1.-)	METTL23 C17orf95
Q5D1E8	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	ZC3H12A MCPIP MCPIP1
P26651	mRNA decay activator protein ZFP36 (G0/G1 switch regulatory protein 24) (Growth factor-inducible nuclear protein NUP475) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36)	ZFP36 G0S24 NUP475 RNF162A TIS11A TTP
Q7Z739	YTH domain-containing family protein 3	YTHDF3
Q08752	Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D)	PPID CYP40 CYPD
P53350	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	PLK1 PLK
Q12769	Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Nucleoporin Nup160)	NUP160 KIAA0197 NUP120
A8CG34	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)	POM121C
Q9BW27	Nuclear pore complex protein Nup85 (85 kDa nucleoporin) (FROUNT) (Nucleoporin Nup75) (Nucleoporin Nup85) (Pericentrin-1)	NUP85 NUP75 PCNT1
O60260	E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	PRKN PARK2
Q8NG50	RAD52 motif-containing protein 1 (RAD52 homolog B)	RDM1 RAD52B
A0A140G945	Alpha-crystallin A2 chain [Cleaved into: Alpha-crystallin A2(1-172); Alpha-crystallin A2(1-168); Alpha-crystallin A2(1-162)]	CRYAA2 CRYAA
Q9UER7	Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)	DAXX BING2 DAP6
Q16690	Dual specificity protein phosphatase 5 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH3)	DUSP5 VH3
P34932	Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2)	HSPA4 APG2
P02489	Alpha-crystallin A chain (Heat shock protein beta-4) (HspB4) [Cleaved into: Alpha-crystallin A(1-172); Alpha-crystallin A(1-168); Alpha-crystallin A(1-162)]	CRYAA CRYA1 HSPB4
Q14568	Heat shock protein HSP 90-alpha A2 (Heat shock 90 kDa protein 1 alpha-like 3) (Heat shock protein HSP 90-alpha A2 pseudogene)	HSP90AA2P HSP90AA2 HSPCAL3
A0A1B0GTS1	Heat shock transcription factor, X-linked member 4	HSFX4
P23528	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	CFL1 CFL
Q8NFI4	Putative protein FAM10A5 (Suppression of tumorigenicity 13 pseudogene 5)	ST13P5 FAM10A5
Q8WXX5	DnaJ homolog subfamily C member 9 (HDJC9) (DnaJ protein SB73)	DNAJC9
Q9C0B1	Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-)	FTO KIAA1752
P62258	14-3-3 protein epsilon (14-3-3E)	YWHAE
Q9BV47	Dual specificity protein phosphatase 26 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase SKRP3) (Low-molecular-mass dual-specificity phosphatase 4) (DSP-4) (LDP-4) (Mitogen-activated protein kinase phosphatase 8) (MAP kinase phosphatase 8) (MKP-8) (Novel amplified gene in thyroid anaplastic cancer)	DUSP26 DUSP24 LDP4 MKP8 NATA1 SKRP3
O95352	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein)	ATG7 APG7L
Q8N163	Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein) (DBC-1) (DBC.1) (NET35) (p30 DBC)	CCAR2 DBC1 KIAA1967
O15078	Centrosomal protein of 290 kDa (Cep290) (Bardet-Biedl syndrome 14 protein) (Cancer/testis antigen 87) (CT87) (Nephrocystin-6) (Tumor antigen se2-2)	CEP290 BBS14 KIAA0373 NPHP6
P15311	Ezrin (Cytovillin) (Villin-2) (p81)	EZR VIL2
Q9UPN4	Centrosomal protein of 131 kDa (5-azacytidine-induced protein 1) (Pre-acrosome localization protein 1)	CEP131 AZI1 KIAA1118
Q9UL15	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	BAG5 KIAA0873
Q92560	Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1) (Cerebral protein 6)	BAP1 KIAA0272 hucep-6
Q09472	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	EP300 P300
O75953	DnaJ homolog subfamily B member 5 (Heat shock protein Hsp40-2) (Heat shock protein Hsp40-3) (Heat shock protein cognate 40) (Hsc40)	DNAJB5 HSC40
O75190	DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	DNAJB6 HSJ2 MRJ MSJ1
Q9H2U1	ATP-dependent DNA/RNA helicase DHX36 (EC 3.6.4.12) (EC 3.6.4.13) (DEAD/H box polypeptide 36) (DEAH-box protein 36) (G4-resolvase-1) (G4R1) (MLE-like protein 1) (RNA helicase associated with AU-rich element protein)	DHX36 DDX36 KIAA1488 MLEL1 RHAU
Q99543	DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]	DNAJC2 MPHOSPH11 MPP11 ZRF1
Q0VDF9	Heat shock 70 kDa protein 14 (HSP70-like protein 1) (Heat shock protein HSP60)	HSPA14 HSP60 HSP70L1
Q58FG0	Putative heat shock protein HSP 90-alpha A5 (Heat shock protein 90-alpha E) (Heat shock protein 90Ae)	HSP90AA5P HSP90AE
Q15007	Pre-mRNA-splicing regulator WTAP (Female-lethal(2)D homolog) (hFL(2)D) (WT1-associated protein) (Wilms tumor 1-associating protein)	WTAP KIAA0105
O15354	Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37
Q58FF8	Putative heat shock protein HSP 90-beta 2 (Heat shock protein 90-beta b) (Heat shock protein 90Bb)	HSP90AB2P HSP90BB
Q9NZL4	Hsp70-binding protein 1 (HspBP1) (Heat shock protein-binding protein 1) (Hsp70-binding protein 2) (HspBP2) (Hsp70-interacting protein 1) (Hsp70-interacting protein 2)	HSPBP1 HSPBP PP1845
Q9NZI8	Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IMP1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1)	IGF2BP1 CRDBP VICKZ1 ZBP1
O95429	BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains)	BAG4 SODD
P61604	10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10) (Early-pregnancy factor) (EPF)	HSPE1
P02511	Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	CRYAB CRYA2 HSPB5
Q96AZ1	EEF1A lysine methyltransferase 3 (EC 2.1.1.-) (Hepatocellular carcinoma-associated antigen 557a) (Methyltransferase-like protein 21B) (Protein-lysine methyltransferase METTL21B)	EEF1AKMT3 FAM119B HCA557A METTL21B
P07199	Major centromere autoantigen B (Centromere protein B) (CENP-B)	CENPB
O60563	Cyclin-T1 (CycT1) (Cyclin-T)	CCNT1
A1A519	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	FAM170A ZNFD
Q8IXQ9	Electron transfer flavoprotein beta subunit lysine methyltransferase (EC 2.1.1.-) (ETFB lysine methyltransferase) (ETFB-KMT) (Protein N-lysine methyltransferase METTL20)	ETFBKMT C12orf72 METTL20
Q7L3B6	Hsp90 co-chaperone Cdc37-like 1 (Hsp90-associating relative of Cdc37)	CDC37L1 CDC37B HARC
Q96A26	Protein FAM162A (E2-induced gene 5 protein) (Growth and transformation-dependent protein) (HGTD-P)	FAM162A C3orf28 E2IG5 DC16 FWP001
O95816	BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2)	BAG2
O95817	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)	BAG3 BIS
Q7Z624	Calmodulin-lysine N-methyltransferase (CLNMT) (CaM KMT) (EC 2.1.1.60)	CAMKMT C2orf34 CLNMT
Q13217	DnaJ homolog subfamily C member 3 (Endoplasmic reticulum DNA J domain-containing protein 6) (ER-resident protein ERdj6) (ERdj6) (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)	DNAJC3 P58IPK PRKRI
P50502	Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein)	ST13 AAG2 FAM10A1 HIP SNC6
