Index,UniProt accession,UniProt name,Status,Protein name,Gene symbol,Species,Identification number
58,P32119,PRDX2_HUMAN,reviewed,"Peroxiredoxin-2 (EC 1.11.1.15) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)","PRDX2 NKEFB TDPX1","Homo sapiens (Human)",299
59,P69905,HBA_HUMAN,reviewed,"Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain)","HBA1; HBA2","Homo sapiens (Human)",298
60,P04899,GNAI2_HUMAN,reviewed,"Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)","GNAI2 GNAI2B","Homo sapiens (Human)",297
61,P06396,GELS_HUMAN,reviewed,"Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)",GSN,"Homo sapiens (Human)",295
62,P02649,APOE_HUMAN,reviewed,"Apolipoprotein E (Apo-E)",APOE,"Homo sapiens (Human)",294
63,P06744,G6PI_HUMAN,reviewed,"Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)",GPI,"Homo sapiens (Human)",293
64,P78371,TCPB_HUMAN,reviewed,"T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)","CCT2 99D8.1 CCTB","Homo sapiens (Human)",293
66,P60953,CDC42_HUMAN,reviewed,"Cell division control protein 42 homolog (G25K GTP-binding protein)",CDC42,"Homo sapiens (Human)",292
67,P21333,FLNA_HUMAN,reviewed,"Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)","FLNA FLN FLN1","Homo sapiens (Human)",292
65,P04792,HSPB1_HUMAN,reviewed,"Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)","HSPB1 HSP27 HSP28","Homo sapiens (Human)",292
69,P01023,A2MG_HUMAN,reviewed,"Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)","A2M CPAMD5 FWP007","Homo sapiens (Human)",288
68,P01024,CO3_HUMAN,reviewed,"Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]","C3 CPAMD1","Homo sapiens (Human)",288
72,P35613,BASI_HUMAN,reviewed,"Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)","BSG UNQ6505/PRO21383","Homo sapiens (Human)",286
70,P14625,ENPL_HUMAN,reviewed,"Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)","HSP90B1 GRP94 TRA1","Homo sapiens (Human)",286
71,P37802,TAGL2_HUMAN,reviewed,"Transgelin-2 (Epididymis tissue protein Li 7e) (SM22-alpha homolog)","TAGLN2 KIAA0120 CDABP0035","Homo sapiens (Human)",286
73,P02786,TFR1_HUMAN,reviewed,"Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]",TFRC,"Homo sapiens (Human)",284
74,P12814,ACTN1_HUMAN,reviewed,"Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)",ACTN1,"Homo sapiens (Human)",282
76,P46940,IQGA1_HUMAN,reviewed,"Ras GTPase-activating-like protein IQGAP1 (p195)","IQGAP1 KIAA0051","Homo sapiens (Human)",281
75,P68371,TBB4B_HUMAN,reviewed,"Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)","TUBB4B TUBB2C","Homo sapiens (Human)",281
77,P09211,GSTP1_HUMAN,reviewed,"Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)","GSTP1 FAEES3 GST3","Homo sapiens (Human)",279
78,P50395,GDIB_HUMAN,reviewed,"Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)","GDI2 RABGDIB","Homo sapiens (Human)",279
81,Q01518,CAP1_HUMAN,reviewed,"Adenylyl cyclase-associated protein 1 (CAP 1)","CAP1 CAP","Homo sapiens (Human)",278
79,P10909,CLUS_HUMAN,reviewed,"Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain)]","CLU APOJ CLI KUB1 AAG4","Homo sapiens (Human)",278
80,P62820,RAB1A_HUMAN,reviewed,"Ras-related protein Rab-1A (YPT1-related protein)","RAB1A RAB1","Homo sapiens (Human)",278
82,P50990,TCPQ_HUMAN,reviewed,"T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Renal carcinoma antigen NY-REN-15)","CCT8 C21orf112 CCTQ KIAA0002","Homo sapiens (Human)",278
83,P22314,UBA1_HUMAN,reviewed,"Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)","UBA1 A1S9T UBE1","Homo sapiens (Human)",277
84,P18206,VINC_HUMAN,reviewed,"Vinculin (Metavinculin) (MV)",VCL,"Homo sapiens (Human)",276
85,Q9H4M9,EHD1_HUMAN,reviewed,"EH domain-containing protein 1 (PAST homolog 1) (hPAST1) (Testilin)","EHD1 PAST PAST1 CDABP0131","Homo sapiens (Human)",273
87,P62826,RAN_HUMAN,reviewed,"GTP-binding nuclear protein Ran (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)","RAN ARA24 OK/SW-cl.81","Homo sapiens (Human)",272
86,P18669,PGAM1_HUMAN,reviewed,"Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B)","PGAM1 PGAMA CDABP0006","Homo sapiens (Human)",272
88,P50995,ANX11_HUMAN,reviewed,"Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)","ANXA11 ANX11","Homo sapiens (Human)",271
89,P60842,IF4A1_HUMAN,reviewed,"Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)","EIF4A1 DDX2A EIF4A","Homo sapiens (Human)",270
90,Q04917,1433F_HUMAN,reviewed,"14-3-3 protein eta (Protein AS1)","YWHAH YWHA1","Homo sapiens (Human)",269
91,P08133,ANXA6_HUMAN,reviewed,"Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)","ANXA6 ANX6","Homo sapiens (Human)",268
92,P60660,MYL6_HUMAN,reviewed,"Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6)",MYL6,"Homo sapiens (Human)",268
93,P17987,TCPA_HUMAN,reviewed,"T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)","TCP1 CCT1 CCTA","Homo sapiens (Human)",268
95,P13645,K1C10_HUMAN,reviewed,"Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)","KRT10 KPP","Homo sapiens (Human)",266
94,P07996,TSP1_HUMAN,reviewed,Thrombospondin-1,"THBS1 TSP TSP1","Homo sapiens (Human)",266
96,P53396,ACLY_HUMAN,reviewed,"ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)",ACLY,"Homo sapiens (Human)",265
97,O75340,PDCD6_HUMAN,reviewed,"Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)","PDCD6 ALG2","Homo sapiens (Human)",265
98,P62879,GBB2_HUMAN,reviewed,"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2)",GNB2,"Homo sapiens (Human)",264
99,O14818,PSA7_HUMAN,reviewed,"Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)","PSMA7 HSPC","Homo sapiens (Human)",263
100,P11233,RALA_HUMAN,reviewed,"Ras-related protein Ral-A","RALA RAL","Homo sapiens (Human)",263
103,P23396,RS3_HUMAN,reviewed,"40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)","RPS3 OK/SW-cl.26","Homo sapiens (Human)",262
104,P26641,EF1G_HUMAN,reviewed,"Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)","EEF1G EF1G PRO1608","Homo sapiens (Human)",262
101,P61106,RAB14_HUMAN,reviewed,"Ras-related protein Rab-14",RAB14,"Homo sapiens (Human)",262
102,P40227,TCPZ_HUMAN,reviewed,"T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20)","CCT6A CCT6 CCTZ","Homo sapiens (Human)",262
105,P09525,ANXA4_HUMAN,reviewed,"Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)","ANXA4 ANX4","Homo sapiens (Human)",261
106,P23284,PPIB_HUMAN,reviewed,"Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)","PPIB CYPB","Homo sapiens (Human)",260
108,P84077,ARF1_HUMAN,reviewed,"ADP-ribosylation factor 1",ARF1,"Homo sapiens (Human)",258
107,P21926,CD9_HUMAN,reviewed,"CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1) (Tetraspanin-29) (Tspan-29) (p24) (CD antigen CD9)","CD9 MIC3 TSPAN29 GIG2","Homo sapiens (Human)",258
109,Q99832,TCPH_HUMAN,reviewed,"T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed]","CCT7 CCTH NIP7-1","Homo sapiens (Human)",258
110,P20073,ANXA7_HUMAN,reviewed,"Annexin A7 (Annexin VII) (Annexin-7) (Synexin)","ANXA7 ANX7 SNX OK/SW-cl.95","Homo sapiens (Human)",257
112,Q14764,MVP_HUMAN,reviewed,"Major vault protein (MVP) (Lung resistance-related protein)","MVP LRP","Homo sapiens (Human)",257
113,P10599,THIO_HUMAN,reviewed,"Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP)","TXN TRDX TRX TRX1","Homo sapiens (Human)",257
111,O75083,WDR1_HUMAN,reviewed,"WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1)",WDR1,"Homo sapiens (Human)",257
115,Q14974,IMB1_HUMAN,reviewed,"Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97)","KPNB1 NTF97","Homo sapiens (Human)",256
114,P30101,PDIA3_HUMAN,reviewed,"Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)","PDIA3 ERP57 ERP60 GRP58","Homo sapiens (Human)",256
117,O75955,FLOT1_HUMAN,reviewed,Flotillin-1,FLOT1,"Homo sapiens (Human)",254
118,P63000,RAC1_HUMAN,reviewed,"Ras-related C3 botulinum toxin substrate 1 (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)","RAC1 TC25 MIG5","Homo sapiens (Human)",254
119,P50991,TCPD_HUMAN,reviewed,"T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Stimulator of TAR RNA-binding)","CCT4 CCTD SRB","Homo sapiens (Human)",254
116,P68366,TBA4A_HUMAN,reviewed,"Tubulin alpha-4A chain (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)","TUBA4A TUBA1","Homo sapiens (Human)",254
