CONTENT ID;CONTENT TYPE;ENTREZ GENE ID;GENE SYMBOL;SPECIES;EXPERIMENT ID;METHODS
58;protein;15481;Hspa8;Mus musculus;9;Western blotting
59;protein;15510;Hspd1;Mus musculus;9;Western blotting
60;protein;16784;Lamp2;Mus musculus;10;Western blotting
61;protein;12527;Cd9;Mus musculus;10;Western blotting
62;protein;18571;Pdcd6ip;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]|Western blotting
63;protein;16414;Itgb2;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
64;protein;15516;Hsp90ab1;Mus musculus;10;Mass spectrometry [MALDI TOF]
65;protein;22154;Tubb5;Mus musculus;10;Mass spectrometry [MALDI TOF]
66;protein;11750;Anxa7;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
67;protein;22088;Tsg101;Mus musculus;10;Mass spectrometry [QTOF]
68;protein;14569;Gdi2;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
69;protein;13627;Eef1a1;Mus musculus;10;Mass spectrometry [QTOF]
70;protein;13682;Eif4a2;Mus musculus;10;Mass spectrometry [QTOF]
71;protein;16952;Anxa1;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
72;protein;11747;Anxa5;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
73;protein;11746;Anxa4;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
74;protein;16854;Lgals3;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
75;protein;53378;Sdcbp;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
76;protein;22629;Ywhah;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
77;protein;22631;Ywhaz;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
78;protein;22628;Ywhag;Mus musculus;10;Mass spectrometry [QTOF]
79;protein;18477;Prdx1;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
80;protein;19326;Rab11b;Mus musculus;10;Mass spectrometry [QTOF]
81;protein;19349;Rab7;Mus musculus;10;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
82;protein;215449;Rap1b;Mus musculus;10;Mass spectrometry [MALDI TOF]
83;protein;12631;Cfl1;Mus musculus;10;Mass spectrometry [MALDI TOF]
84;protein;15078;H3f3a;Mus musculus;10;Mass spectrometry [MALDI TOF]
85;protein;15081;H3f3b;Mus musculus;10;Mass spectrometry [MALDI TOF]
86;protein;319180;Hist1h2bf;Mus musculus;10;Mass spectrometry [MALDI TOF]
87;protein;319183;Hist1h2bj;Mus musculus;10;Mass spectrometry [MALDI TOF]
88;protein;319185;Hist1h2bl;Mus musculus;10;Mass spectrometry [MALDI TOF]
89;protein;319187;Hist1h2bn;Mus musculus;10;Mass spectrometry [MALDI TOF]
90;protein;15267;Hist2h2aa1;Mus musculus;10;Mass spectrometry [MALDI TOF]
91;protein;319192;Hist2h2aa2;Mus musculus;10;Mass spectrometry [MALDI TOF]
92;protein;320332;Hist4h4;Mus musculus;10;Mass spectrometry [MALDI TOF]
93;protein;18643;Pfn1;Mus musculus;10;Mass spectrometry [MALDI TOF]
94;protein;975;CD81;Homo sapiens;11;Western blotting
95;protein;967;CD63;Homo sapiens;11;Western blotting
96;protein;3106;HLA-B;Homo sapiens;11;Mass spectrometry [MALDI TOF]
97;protein;3122;HLA-DRA;Homo sapiens;11;Mass spectrometry [MALDI TOF]
98;protein;3127;HLA-DRB5;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Western blotting
99;protein;3123;HLA-DRB1;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]|Western blotting
100;protein;3119;HLA-DQB1;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Western blotting
101;protein;5788;PTPRC;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
102;protein;3676;ITGA4;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
103;protein;2771;GNAI2;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
104;protein;3320;HSP90AA1;Homo sapiens;11;Mass spectrometry [MALDI TOF]
105;protein;3312;HSPA8;Homo sapiens;11;Mass spectrometry [MALDI TOF]
106;protein;1213;CLTC;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
107;protein;7846;TUBA1A;Homo sapiens;11;Mass spectrometry [MALDI TOF]
108;protein;203068;TUBB;Homo sapiens;11;Mass spectrometry [MALDI TOF]
109;protein;10376;TUBA1B;Homo sapiens;11;Mass spectrometry [MALDI TOF]
110;protein;4478;MSN;Homo sapiens;11;Mass spectrometry [MALDI TOF]
111;protein;5315;PKM;Homo sapiens;11;Mass spectrometry [MALDI TOF]
112;protein;2023;ENO1;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
113;protein;2597;GAPDH;Homo sapiens;11;Mass spectrometry [MALDI TOF]
114;protein;226;ALDOA;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
115;protein;476;ATP1A1;Homo sapiens;11;Mass spectrometry [MALDI TOF]
116;protein;1915;EEF1A1;Homo sapiens;11;Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
117;protein;4162;MCAM;Homo sapiens;12;Western blotting
118;protein;2315;MLANA;Homo sapiens;12;Western blotting
119;protein;302;ANXA2;Homo sapiens;12;Mass spectrometry|Western blotting
120;protein;47;ACLY;Homo sapiens;12;Mass spectrometry
121;protein;2023;ENO1;Homo sapiens;12;Mass spectrometry
122;protein;3945;LDHB;Homo sapiens;12;Mass spectrometry
123;protein;2950;GSTP1;Homo sapiens;12;Mass spectrometry
124;protein;5223;PGAM1;Homo sapiens;12;Mass spectrometry
125;protein;7167;TPI1;Homo sapiens;12;Mass spectrometry
126;protein;2597;GAPDH;Homo sapiens;12;Mass spectrometry
127;protein;4190;MDH1;Homo sapiens;12;Mass spectrometry
128;protein;231;AKR1B1;Homo sapiens;12;Mass spectrometry
129;protein;3312;HSPA8;Homo sapiens;12;Mass spectrometry
130;protein;3303;HSPA1A;Homo sapiens;12;Mass spectrometry
131;protein;3304;HSPA1B;Homo sapiens;12;Mass spectrometry
132;protein;71;ACTG1;Homo sapiens;12;Mass spectrometry
133;protein;60;ACTB;Homo sapiens;12;Mass spectrometry
134;protein;832;CAPZB;Homo sapiens;12;Mass spectrometry
135;protein;5962;RDX;Homo sapiens;12;Mass spectrometry
136;protein;4478;MSN;Homo sapiens;12;Mass spectrometry
137;protein;7430;EZR;Homo sapiens;12;Mass spectrometry
138;protein;6386;SDCBP;Homo sapiens;12;Mass spectrometry
139;protein;3858;KRT10;Homo sapiens;12;Mass spectrometry
140;protein;308;ANXA5;Homo sapiens;12;Mass spectrometry
141;protein;309;ANXA6;Homo sapiens;12;Mass spectrometry
142;protein;1938;EEF2;Homo sapiens;12;Mass spectrometry
143;protein;93185;IGSF8;Homo sapiens;12;Mass spectrometry
144;protein;6812;STXBP1;Homo sapiens;12;Mass spectrometry
145;protein;1500;CTNND1;Homo sapiens;12;Mass spectrometry
146;protein;10015;PDCD6IP;Homo sapiens;12;Mass spectrometry
147;protein;2665;GDI2;Homo sapiens;12;Mass spectrometry
148;protein;2782;GNB1;Homo sapiens;12;Mass spectrometry
149;protein;2767;GNA11;Homo sapiens;12;Mass spectrometry
150;protein;5499;PPP1CA;Homo sapiens;12;Mass spectrometry
151;protein;55815;TSNAXIP1;Homo sapiens;12;Mass spectrometry
152;protein;7531;YWHAE;Homo sapiens;12;Mass spectrometry
153;protein;5901;RAN;Homo sapiens;12;Mass spectrometry
154;protein;4735;SEPT2;Homo sapiens;12;Mass spectrometry
155;protein;9948;WDR1;Homo sapiens;12;Mass spectrometry
156;protein;6813;STXBP2;Homo sapiens;12;Mass spectrometry
157;protein;55943;Stx8;Mus musculus;14;Western blotting
158;protein;53611;Vti1a;Mus musculus;14;Western blotting
159;protein;53612;Vti1b;Mus musculus;14;Western blotting
160;protein;19349;Rab7;Mus musculus;14;Western blotting
161;protein;53869;Rab11a;Mus musculus;14;Western blotting
162;protein;19326;Rab11b;Mus musculus;14;Western blotting
163;protein;16783;Lamp1;Mus musculus;14;Western blotting
164;protein;16784;Lamp2;Mus musculus;14;Western blotting
165;protein;12527;Cd9;Mus musculus;14;Mass spectrometry|Western blotting
166;protein;12512;Cd63;Mus musculus;14;Western blotting
167;protein;16149;Cd74;Mus musculus;14;Western blotting
168;protein;13040;Ctss;Mus musculus;14;Western blotting
169;protein;12332;Capg;Mus musculus;14;Mass spectrometry
170;protein;12631;Cfl1;Mus musculus;14;Mass spectrometry
171;protein;17904;Myl6;Mus musculus;14;Mass spectrometry
172;protein;17886;Myh9;Mus musculus;14;Mass spectrometry
173;protein;17698;Msn;Mus musculus;14;Mass spectrometry
174;protein;53378;Sdcbp;Mus musculus;14;Mass spectrometry
175;protein;14678;Gnai2;Mus musculus;14;Mass spectrometry
176;protein;235442;Rab8b;Mus musculus;14;Mass spectrometry
177;protein;13682;Eif4a2;Mus musculus;14;Mass spectrometry
178;protein;66085;Eif3f;Mus musculus;14;Mass spectrometry
179;protein;12331;Cap1;Mus musculus;14;Mass spectrometry
180;protein;20194;S100a10;Mus musculus;14;Mass spectrometry
181;protein;12306;Anxa2;Mus musculus;14;Mass spectrometry
182;protein;18571;Pdcd6ip;Mus musculus;14;Mass spectrometry
183;protein;56212;Rhog;Mus musculus;14;Mass spectrometry
184;protein;22631;Ywhaz;Mus musculus;14;Mass spectrometry
185;protein;54401;Ywhab;Mus musculus;14;Mass spectrometry
186;protein;319188;Hist1h2bp;Mus musculus;14;Mass spectrometry
187;protein;22627;Ywhae;Mus musculus;14;Mass spectrometry
188;protein;15481;Hspa8;Mus musculus;14;Mass spectrometry
189;protein;15519;Hsp90aa1;Mus musculus;14;Mass spectrometry
190;protein;14433;Gapdh;Mus musculus;14;Mass spectrometry
191;protein;18746;Pkm;Mus musculus;14;Mass spectrometry
192;protein;18648;Pgam1;Mus musculus;14;Mass spectrometry
193;protein;11674;Aldoa;Mus musculus;14;Mass spectrometry
194;protein;13806;Eno1;Mus musculus;14;Mass spectrometry
195;protein;18655;Pgk1;Mus musculus;14;Mass spectrometry
196;protein;13014;Cstb;Mus musculus;14;Mass spectrometry
197;protein;29875;Iqgap1;Mus musculus;14;Mass spectrometry
198;protein;29876;Clic4;Mus musculus;14;Mass spectrometry
199;protein;232975;Atp1a3;Mus musculus;14;Mass spectrometry
200;protein;16854;Lgals3;Mus musculus;14;Mass spectrometry
201;protein;12520;Cd81;Mus musculus;14;Mass spectrometry
202;protein;14127;Fcer1g;Mus musculus;14;Mass spectrometry
203;protein;16790;Anpep;Mus musculus;14;Mass spectrometry
204;protein;12475;Cd14;Mus musculus;14;Mass spectrometry
205;protein;16414;Itgb2;Mus musculus;14;Mass spectrometry
206;protein;16409;Itgam;Mus musculus;14;Mass spectrometry
207;protein;70350;Basp1;Mus musculus;14;Mass spectrometry
208;protein;17304;Mfge8;Mus musculus;14;Mass spectrometry
209;protein;20501;Slc16a1;Mus musculus;14;Mass spectrometry
210;protein;22350;Ezr;Mus musculus;14;Mass spectrometry
211;protein;18826;Lcp1;Mus musculus;14;Mass spectrometry
212;protein;12306;Anxa2;Mus musculus;14;Mass spectrometry
213;protein;16956;Lpl;Mus musculus;14;Mass spectrometry
214;protein;23473;CAPN7;Homo sapiens;13;Mass spectrometry
215;protein;23576;DDAH1;Homo sapiens;13;Mass spectrometry
216;protein;260423;Hist1h3f;Mus musculus;15;Mass spectrometry
217;protein;267019;Rps15a;Mus musculus;15;Mass spectrometry
218;protein;268373;Ppia;Mus musculus;15;Mass spectrometry
219;protein;268449;Rpl23a;Mus musculus;15;Mass spectrometry
220;protein;269261;Rpl12;Mus musculus;15;Mass spectrometry
221;protein;269523;Vcp;Mus musculus;15;Mass spectrometry
222;protein;270106;Rpl13;Mus musculus;15;Mass spectrometry
223;protein;271457;Rab5a;Mus musculus;15;Mass spectrometry
224;protein;319148;Hist1h3c;Mus musculus;15;Mass spectrometry
225;protein;319149;Hist1h3d;Mus musculus;15;Mass spectrometry
226;protein;319150;Hist1h3b;Mus musculus;15;Mass spectrometry
227;protein;319151;Hist1h3e;Mus musculus;15;Mass spectrometry
228;protein;319152;Hist1h3h;Mus musculus;15;Mass spectrometry
229;protein;319153;Hist1h3i;Mus musculus;15;Mass spectrometry
230;protein;319154;Hist2h3b;Mus musculus;15;Mass spectrometry
231;protein;319155;Hist1h4c;Mus musculus;15;Mass spectrometry
232;protein;319156;Hist1h4d;Mus musculus;15;Mass spectrometry
233;protein;319157;Hist1h4f;Mus musculus;15;Mass spectrometry
234;protein;319158;Hist1h4i;Mus musculus;15;Mass spectrometry
235;protein;319159;Hist1h4j;Mus musculus;15;Mass spectrometry
236;protein;319160;Hist1h4k;Mus musculus;15;Mass spectrometry
237;protein;319161;Hist1h4n;Mus musculus;15;Mass spectrometry
238;protein;319164;Hist1h2ac;Mus musculus;15;Mass spectrometry
239;protein;319165;Hist1h2ad;Mus musculus;15;Mass spectrometry
240;protein;319166;Hist1h2ae;Mus musculus;15;Mass spectrometry
241;protein;319167;Hist1h2ag;Mus musculus;15;Mass spectrometry
242;protein;319170;Hist1h2an;Mus musculus;15;Mass spectrometry
243;protein;319171;Hist1h2ap;Mus musculus;15;Mass spectrometry
244;protein;319172;Hist1h2ab;Mus musculus;15;Mass spectrometry
245;protein;319180;Hist1h2bf;Mus musculus;15;Mass spectrometry
246;protein;319183;Hist1h2bj;Mus musculus;15;Mass spectrometry
247;protein;319185;Hist1h2bl;Mus musculus;15;Mass spectrometry
248;protein;319186;Hist1h2bm;Mus musculus;15;Mass spectrometry
249;protein;319187;Hist1h2bn;Mus musculus;15;Mass spectrometry
250;protein;319191;Hist1h2ai;Mus musculus;15;Mass spectrometry
251;protein;319192;Hist2h2aa2;Mus musculus;15;Mass spectrometry
252;protein;319195;Rpl17;Mus musculus;15;Mass spectrometry
253;protein;25796;PGLS;Homo sapiens;13;Mass spectrometry
254;protein;25813;SAMM50;Homo sapiens;13;Mass spectrometry
255;protein;320332;Hist4h4;Mus musculus;15;Mass spectrometry
256;protein;320595;Phf8;Mus musculus;15;Mass spectrometry
257;protein;326619;Hist1h4a;Mus musculus;15;Mass spectrometry
258;protein;326620;Hist1h4b;Mus musculus;15;Mass spectrometry
259;protein;1191;CLU;Homo sapiens;13;Mass spectrometry
260;protein;25932;CLIC4;Homo sapiens;13;Mass spectrometry
261;protein;1192;CLIC1;Homo sapiens;13;Mass spectrometry
262;protein;353204;Aldoart1;Mus musculus;15;Mass spectrometry
263;protein;25978;CHMP2B;Homo sapiens;13;Mass spectrometry
264;protein;25989;ULK3;Homo sapiens;13;Mass spectrometry
265;protein;360198;Hist1h3a;Mus musculus;15;Mass spectrometry
266;protein;380687;Gm5138;Mus musculus;15;Mass spectrometry
267;protein;1200;TPP1;Homo sapiens;13;Mass spectrometry
268;protein;406220;Krt77;Mus musculus;15;Mass spectrometry
269;protein;433182;Eno1b;Mus musculus;15;Mass spectrometry
270;protein;433464;Gm13991;Mus musculus;15;Mass spectrometry
271;protein;433594;Gm5537;Mus musculus;15;Mass spectrometry
272;protein;433941;Gm5561;Mus musculus;15;Mass spectrometry
273;protein;546298;Rps2-ps13;Mus musculus;15;Mass spectrometry
274;protein;26994;RNF11;Homo sapiens;13;Mass spectrometry
275;protein;619900;Rps27a-ps2;Mus musculus;15;Mass spectrometry
276;protein;1267;CNP;Homo sapiens;13;Mass spectrometry
277;protein;621100;Rpl27-ps3;Mus musculus;15;Mass spectrometry
279;protein;625298;Rps13-ps1;Mus musculus;15;Mass spectrometry
280;protein;27183;VPS4A;Homo sapiens;13;Mass spectrometry
281;protein;27236;ARFIP1;Homo sapiens;13;Mass spectrometry
282;protein;27243;CHMP2A;Homo sapiens;13;Mass spectrometry
283;protein;27293;SMPDL3B;Homo sapiens;13;Mass spectrometry
284;protein;631069;Gm7053;Mus musculus;15;Mass spectrometry
285;protein;633082;Gm12164;Mus musculus;15;Mass spectrometry
286;protein;1291;COL6A1;Homo sapiens;13;Mass spectrometry
287;protein;29763;PACSIN3;Homo sapiens;13;Mass spectrometry
288;protein;1378;CR1;Homo sapiens;13;Mass spectrometry
289;protein;30844;EHD4;Homo sapiens;13;Mass spectrometry
290;protein;30845;EHD3;Homo sapiens;13;Mass spectrometry
291;protein;50865;HEBP1;Homo sapiens;13;Mass spectrometry
292;protein;51160;VPS28;Homo sapiens;13;Mass spectrometry
293;protein;51181;DCXR;Homo sapiens;13;Mass spectrometry
294;protein;51458;RHCG;Homo sapiens;13;Mass spectrometry
295;protein;51510;CHMP5;Homo sapiens;13;Mass spectrometry
296;protein;51534;VTA1;Homo sapiens;13;Mass spectrometry
297;protein;51552;RAB14;Homo sapiens;13;Mass spectrometry
298;protein;51704;GPRC5B;Homo sapiens;13;Mass spectrometry
299;protein;51719;CAB39;Homo sapiens;13;Mass spectrometry
300;protein;51762;RAB8B;Homo sapiens;13;Mass spectrometry
301;protein;51768;TM7SF3;Homo sapiens;13;Mass spectrometry
302;protein;54587;MXRA8;Homo sapiens;13;Mass spectrometry
303;protein;55004;LAMTOR1;Homo sapiens;13;Mass spectrometry
304;protein;55233;MOB1A;Homo sapiens;13;Mass spectrometry
305;protein;55293;UEVLD;Homo sapiens;13;Mass spectrometry
306;protein;55890;GPRC5C;Homo sapiens;13;Mass spectrometry
307;protein;55970;GNG12;Homo sapiens;13;Mass spectrometry
308;protein;55971;BAIAP2L1;Homo sapiens;13;Mass spectrometry
309;protein;1636;ACE;Homo sapiens;13;Mass spectrometry
310;protein;57132;CHMP1B;Homo sapiens;13;Mass spectrometry
311;protein;57153;SLC44A2;Homo sapiens;13;Mass spectrometry
312;protein;1652;DDT;Homo sapiens;13;Mass spectrometry
313;protein;1667;DEFA1;Homo sapiens;13;Mass spectrometry
314;protein;1668;DEFA3;Homo sapiens;13;Mass spectrometry
315;protein;57699;CPNE5;Homo sapiens;13;Mass spectrometry
316;protein;64114;TMBIM1;Homo sapiens;13;Mass spectrometry
317;protein;1769;DNAH8;Homo sapiens;13;Mass spectrometry
318;protein;1800;DPEP1;Homo sapiens;13;Mass spectrometry
319;protein;1803;DPP4;Homo sapiens;13;Mass spectrometry
320;protein;79812;MMRN2;Homo sapiens;13;Mass spectrometry
321;protein;80727;TTYH3;Homo sapiens;13;Mass spectrometry
322;protein;80736;SLC44A4;Homo sapiens;13;Mass spectrometry
323;protein;81876;RAB1B;Homo sapiens;13;Mass spectrometry
324;protein;83452;RAB33B;Homo sapiens;13;Mass spectrometry
325;protein;1915;EEF1A1;Homo sapiens;13;Mass spectrometry
326;protein;83758;RBP5;Homo sapiens;13;Mass spectrometry
327;protein;1950;EGF;Homo sapiens;13;Mass spectrometry
328;protein;84418;CYSTM1;Homo sapiens;13;Mass spectrometry
329;protein;1984;EIF5A;Homo sapiens;13;Mass spectrometry
330;protein;84836;ABHD14B;Homo sapiens;13;Mass spectrometry
331;protein;2023;ENO1;Homo sapiens;13;Mass spectrometry
332;protein;2027;ENO3;Homo sapiens;13;Mass spectrometry
333;protein;2028;ENPEP;Homo sapiens;13;Mass spectrometry
334;protein;2040;STOM;Homo sapiens;13;Mass spectrometry
335;protein;92597;MOB1B;Homo sapiens;13;Mass spectrometry
336;protein;92714;ARRDC1;Homo sapiens;13;Mass spectrometry
337;protein;2059;EPS8;Homo sapiens;13;Mass spectrometry
338;protein;93343;MVB12A;Homo sapiens;13;Mass spectrometry
339;protein;112574;SNX18;Homo sapiens;13;Mass spectrometry
340;protein;2170;FABP3;Homo sapiens;13;Mass spectrometry
341;protein;128866;CHMP4B;Homo sapiens;13;Mass spectrometry
342;protein;129531;MITD1;Homo sapiens;13;Mass spectrometry
343;protein;213;ALB;Homo sapiens;13;Mass spectrometry
344;protein;140576;S100A16;Homo sapiens;13;Mass spectrometry
345;protein;2243;FGA;Homo sapiens;13;Mass spectrometry
346;protein;144402;CPNE8;Homo sapiens;13;Mass spectrometry
347;protein;148362;BROX;Homo sapiens;13;Mass spectrometry
348;protein;152007;GLIPR2;Homo sapiens;13;Mass spectrometry
349;protein;2335;FN1;Homo sapiens;13;Mass spectrometry
350;protein;226;ALDOA;Homo sapiens;13;Mass spectrometry
351;protein;229;ALDOB;Homo sapiens;13;Mass spectrometry
352;protein;231;AKR1B1;Homo sapiens;13;Mass spectrometry
353;protein;245973;ATP6V1C2;Homo sapiens;13;Mass spectrometry
354;protein;2512;FTL;Homo sapiens;13;Mass spectrometry
355;protein;2521;FUS;Homo sapiens;13;Mass spectrometry
356;protein;2548;GAA;Homo sapiens;13;Mass spectrometry
357;protein;284764;FTLP3;Homo sapiens;13;Mass spectrometry
358;protein;2597;GAPDH;Homo sapiens;13;Mass spectrometry
359;protein;259;AMBP;Homo sapiens;13;Mass spectrometry
360;protein;2678;GGT1;Homo sapiens;13;Mass spectrometry
361;protein;2720;GLB1;Homo sapiens;13;Mass spectrometry
362;protein;2734;GLG1;Homo sapiens;13;Mass spectrometry
363;protein;2767;GNA11;Homo sapiens;13;Mass spectrometry
364;protein;2770;GNAI1;Homo sapiens;13;Mass spectrometry
365;protein;2771;GNAI2;Homo sapiens;13;Mass spectrometry
366;protein;2773;GNAI3;Homo sapiens;13;Mass spectrometry
367;protein;2778;GNAS;Homo sapiens;13;Mass spectrometry
368;protein;2782;GNB1;Homo sapiens;13;Mass spectrometry
369;protein;2783;GNB2;Homo sapiens;13;Mass spectrometry
370;protein;2788;GNG7;Homo sapiens;13;Mass spectrometry
371;protein;2810;SFN;Homo sapiens;13;Mass spectrometry
372;protein;2821;GPI;Homo sapiens;13;Mass spectrometry
373;protein;2938;GSTA1;Homo sapiens;13;Mass spectrometry
374;protein;2939;GSTA2;Homo sapiens;13;Mass spectrometry
375;protein;290;ANPEP;Homo sapiens;13;Mass spectrometry
376;protein;2940;GSTA3;Homo sapiens;13;Mass spectrometry
377;protein;2947;GSTM3;Homo sapiens;13;Mass spectrometry
378;protein;2950;GSTP1;Homo sapiens;13;Mass spectrometry
379;protein;2990;GUSB;Homo sapiens;13;Mass spectrometry
380;protein;3013;HIST1H2AD;Homo sapiens;15;Mass spectrometry
381;protein;302;ANXA2;Homo sapiens;13;Mass spectrometry
382;protein;3105;HLA-A;Homo sapiens;13;Mass spectrometry
383;protein;306;ANXA3;Homo sapiens;13;Mass spectrometry
384;protein;307;ANXA4;Homo sapiens;13;Mass spectrometry
385;protein;308;ANXA5;Homo sapiens;13;Mass spectrometry
386;protein;309;ANXA6;Homo sapiens;13;Mass spectrometry
387;protein;310;ANXA7;Homo sapiens;13;Mass spectrometry
388;protein;311;ANXA11;Homo sapiens;13;Mass spectrometry
389;protein;553115;PEF1;Homo sapiens;13;Mass spectrometry
390;protein;3248;HPGD;Homo sapiens;13;Mass spectrometry
391;protein;3265;HRAS;Homo sapiens;13;Mass spectrometry
392;protein;3303;HSPA1A;Homo sapiens;13;Mass spectrometry
393;protein;3304;HSPA1B;Homo sapiens;13;Mass spectrometry
394;protein;3309;HSPA5;Homo sapiens;13;Mass spectrometry
395;protein;3310;HSPA6;Homo sapiens;13;Mass spectrometry
396;protein;3312;HSPA8;Homo sapiens;13;Mass spectrometry
397;protein;325;APCS;Homo sapiens;13;Mass spectrometry
398;protein;3320;HSP90AA1;Homo sapiens;13;Mass spectrometry
399;protein;3326;HSP90AB1;Homo sapiens;13;Mass spectrometry
400;protein;3329;HSPD1;Homo sapiens;13;Mass spectrometry
401;protein;3417;IDH1;Homo sapiens;13;Mass spectrometry
402;protein;347;APOD;Homo sapiens;13;Mass spectrometry
403;protein;353;APRT;Homo sapiens;13;Mass spectrometry
404;protein;358;AQP1;Homo sapiens;13;Mass spectrometry
405;protein;359;AQP2;Homo sapiens;13;Mass spectrometry
406;protein;3827;KNG1;Homo sapiens;13;Mass spectrometry
